node,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality
175,0.0,0.0,0.0,2.5206463634699766e-108
176,0.0005002501250625312,0.0,0.0,2.5206463634699766e-108
177,0.0,0.0,0.0,2.5206463634699766e-108
178,0.0,0.0,0.0,2.5206463634699766e-108
179,0.0,0.0,0.0,2.5206463634699766e-108
180,0.0015007503751875936,6.706706706706707e-05,0.10180396957189704,2.843353909722922e-06
181,0.0,0.0,0.0,2.5206463634699766e-108
182,0.0,0.0,0.0,2.5206463634699766e-108
183,0.0025012506253126563,2.317318022320617e-05,0.09672136829154176,1.0636468707600037e-25
184,0.0,0.0,0.0,2.5206463634699766e-108
185,0.01250625312656328,0.0004974336995577503,0.08098018414893876,8.750835208912828e-52
186,0.0,0.0,0.0,2.5206463634699766e-108
187,0.0,0.0,0.0,2.5206463634699766e-108
188,0.0,0.0,0.0,2.5206463634699766e-108
189,0.002001000500250125,0.0,0.0,1.243615980240182e-93
190,0.00400200100050025,0.00027469910319490303,0.0,9.209819335681254e-58
191,0.01650825412706353,0.00043539895975027506,0.10545507298654756,4.512695008143772e-31
192,0.0,0.0,0.0,2.5206463634699766e-108
193,0.0025012506253126563,0.0,0.0,7.049239620080134e-104
194,0.0,0.0,0.0,2.5206463634699766e-108
195,0.0,0.0,0.0,2.5206463634699766e-108
196,0.003001500750375187,0.0,0.0,1.4038991985982397e-103
197,0.0,0.0,0.0,2.5206463634699766e-108
198,0.0,0.0,0.0,2.5206463634699766e-108
199,0.0005002501250625312,0.0,0.0,5.452601717945531e-102
200,0.00850425212606303,0.00018378395831565244,0.08113583740674041,5.316331415834062e-59
201,0.0,0.0,0.0,2.5206463634699766e-108
202,0.013006503251625811,0.00012068320374749428,0.07767414093042066,9.650631769244173e-46
203,0.0,0.0,0.0,2.5206463634699766e-108
204,0.0,0.0,0.0,2.5206463634699766e-108
205,0.00400200100050025,3.033945493452775e-07,0.042376784891754955,1.032299555952788e-76
206,0.0010005002501250625,4.594756219076924e-07,0.09711383624427103,2.318493488942289e-21
207,0.0010005002501250625,0.0,0.0,5.948725417789145e-106
208,0.0,0.0,0.0,2.5206463634699766e-108
209,0.0,0.0,0.0,2.5206463634699766e-108
210,0.005502751375687844,3.092116506750653e-06,0.0,2.2532964635958575e-84
211,0.0,0.0,0.0,2.5206463634699766e-108
212,0.015007503751875937,0.0002961554553211625,0.1158910511299534,9.742593939028238e-17
213,0.0,0.0,0.0,2.5206463634699766e-108
214,0.0,0.0,0.0,2.5206463634699766e-108
215,0.0010005002501250625,0.0,0.0,2.5206463634699766e-108
216,0.011005502751375688,4.486570169787249e-06,0.0,1.3143524450530109e-99
217,0.0,0.0,0.0,2.5206463634699766e-108
218,0.010005002501250625,2.8302384934343577e-05,0.0,8.584889513837294e-57
219,0.0,0.0,0.0,2.5206463634699766e-108
220,0.014507253626813406,0.00040566348693986534,0.05257836198179979,1.1226731492364586e-87
221,0.0035017508754377185,7.825418061078623e-06,0.06814815844916179,3.4718951135378495e-53
222,0.0,0.0,0.0,2.5206463634699766e-108
223,0.013506753376688344,0.00024151360216929685,0.07776838546069316,1.4249280030938876e-75
224,0.0,0.0,0.0,2.5206463634699766e-108
225,0.002001000500250125,0.0,0.0,5.948725417789145e-106
226,0.005502751375687844,6.092940521170431e-06,0.0,7.898895792711983e-73
227,0.0005002501250625312,0.0,0.0,5.948725417789145e-106
228,0.0,0.0,0.0,2.5206463634699766e-108
229,0.012006003001500749,1.4379608795458968e-05,0.0,3.7335607485036038e-81
230,0.0,0.0,0.0,2.5206463634699766e-108
231,0.0,0.0,0.0,2.5206463634699766e-108
